"breed","butterfat","density","scaled","ndensity","count","n"
"Ayrshire",3.14308656295156,0.00175103148984976,0.00135351942553227,0.00135351942553227,0.0350206297969952,20
"Ayrshire",3.14638172317484,0.00189199404252174,0.00146248123142789,0.00146248123142789,0.0378398808504348,20
"Ayrshire",3.14967688339812,0.00204119645462075,0.00157781231729523,0.00157781231729523,0.0408239290924149,20
"Ayrshire",3.1529720436214,0.00219836254085382,0.00169929919630596,0.00169929919630596,0.0439672508170765,20
"Ayrshire",3.15626720384468,0.00237142592804559,0.00183307443551229,0.00183307443551229,0.0474285185609118,20
"Ayrshire",3.15956236406796,0.0025518286535303,0.0019725228662104,0.0019725228662104,0.051036573070606,20
"Ayrshire",3.16285752429125,0.00274613836295738,0.00212272117378147,0.00212272117378147,0.0549227672591476,20
"Ayrshire",3.16615268451453,0.00295462702084056,0.00228387958245877,0.00228387958245877,0.0590925404168113,20
"Ayrshire",3.16944784473781,0.00317141502560624,0.00245145325396248,0.00245145325396248,0.0634283005121248,20
"Ayrshire",3.17274300496109,0.00340990096296794,0.00263579908143987,0.00263579908143987,0.0681980192593587,20
"Ayrshire",3.17603816518437,0.00365950628274167,0.0028287400142491,0.0028287400142491,0.0731901256548333,20
"Ayrshire",3.17933332540765,0.00392299309322338,0.00303241111806753,0.00303241111806753,0.0784598618644677,20
"Ayrshire",3.18262848563093,0.00420902011256927,0.00325350544398681,0.00325350544398681,0.0841804022513855,20
"Ayrshire",3.18592364585422,0.0045060209336645,0.00348308234370659,0.00348308234370659,0.09012041867329,20
"Ayrshire",3.1892188060775,0.0048258922001976,0.00373033773313383,0.00373033773313383,0.0965178440039521,20
"Ayrshire",3.19251396630078,0.00516493189174286,0.00399241000949955,0.00399241000949955,0.103298637834857,20
"Ayrshire",3.19580912652406,0.00551640803158842,0.00426409546213117,0.00426409546213117,0.110328160631768,20
"Ayrshire",3.19910428674734,0.00590169609041468,0.00456191698908252,0.00456191698908252,0.118033921808294,20
"Ayrshire",3.20239944697062,0.00630112193193314,0.00487066679666091,0.00487066679666091,0.126022438638663,20
"Ayrshire",3.20569460719391,0.0067231717949357,0.00519690461215915,0.00519690461215915,0.134463435898714,20
"Ayrshire",3.20898976741719,0.0071753172022862,0.00554640580363493,0.00554640580363493,0.143506344045724,20
"Ayrshire",3.21228492764047,0.00764305587837739,0.00590796034324888,0.00590796034324888,0.152861117567548,20
"Ayrshire",3.21558008786375,0.00814617544475076,0.00629686374698502,0.00629686374698502,0.162923508895015,20
"Ayrshire",3.21887524808703,0.00867355840192847,0.00670452236498961,0.00670452236498961,0.173471168038569,20
"Ayrshire",3.22217040831031,0.00922138336982722,0.00712798233138129,0.00712798233138129,0.184427667396544,20
"Ayrshire",3.2254655685336,0.00981347332003628,0.00758565842339672,0.00758565842339672,0.196269466400726,20
"Ayrshire",3.22876072875688,0.0104249359748533,0.0080583093072214,0.0080583093072214,0.208498719497065,20
"Ayrshire",3.23205588898016,0.0110709211699456,0.00855764556429739,0.00855764556429739,0.221418423398913,20
"Ayrshire",3.23535104920344,0.011754660931818,0.00908616549958563,0.00908616549958563,0.23509321863636,20
"Ayrshire",3.23864620942672,0.0124594367697812,0.00963094598632079,0.00963094598632079,0.249188735395624,20
"Ayrshire",3.24194136965,0.0132156880586324,0.0102155161759361,0.0102155161759361,0.264313761172648,20
